Name,Description,Type,FedRAMP Moderate,FedRAMP High,Planned 2020,DISA IL 2,DISA IL 4,DISA IL 5 **,DISA IL 6
Multi-Factor Authentication,"Additional form of identification, such as to enter a code on their cellphone or to provide a fingerprint scan.",Security,✔️,✔️,,✔️,✔️,,✔️
Network Watcher,Network performance monitoring and diagnostics solution,Management & Governance,✔️,✔️,,✔️,✔️,✔️,✔️
Network Watcher,Network performance monitoring and diagnostics solution,Networking,✔️,✔️,,✔️,✔️,✔️,✔️
Network Watcher Traffic Analytics,provides visibility into user and application activity in cloud networks,Security,✔️,✔️,,✔️,✔️,✔️,
Notification Hubs,Send push notifications to any platform from any back end,IoT,✔️,✔️,,✔️,✔️,,
Notification Hubs,Send push notifications to any platform from any back end,Mobile,✔️,✔️,,✔️,✔️,,
Notification Hubs,Send push notifications to any platform from any back end,Web,✔️,✔️,,✔️,✔️,,
Personalizer,An AI service that delivers a personalized user experience,Machine Learning,,,,,,,
Power Automate,automation,Analytics,,,,✔️,✔️,,
Power BI,Empower team members to discover insights hidden in your data,Analytics,,,,✔️,✔️,✔️,
Power BI Embedded,"Embed fully interactive, stunning data visualizations in your applications",Analytics,✔️,✔️,,✔️,✔️,✔️,
Project Bonsai PREVIEW,A machine teaching service for creating intelligent industrial control systems using simulations,Machine Learning,,,,,,,
QnA Maker,"Distill information into conversational, easy-to-navigate answers",Machine Learning,,,,,,,
Queue Storage,Effectively scale apps according to traffic,Storage,,,,,,,
Queue Storage,Durable queues for large-volume cloud services,Storage,✔️,✔️,,✔️,✔️,✔️,✔️
R Server for HDInsight,"Predictive analytics, machine learning, and statistical modeling for big data",Analytics,,,,,,,
Remote Rendering PREVIEW,"Render high-quality, interactive 3D content, and stream it to your devices in real time",Mixed Reality,,,,,,,
Scheduler,migrating to Azure Logic Apps,Developer Tools,✔️,✔️,,✔️,✔️,✔️,
SDKs,Get the SDKs and command-line tools you need,Developer Tools,,,,,,,
Security Center,Unify security management and enable advanced threat protection across hybrid cloud workloads,Hybrid,✔️,✔️,,,,,
Security Center,Unify security management and enable advanced threat protection across hybrid cloud workloads,Security,✔️,✔️,,,,,
Service Bus,Connect across private and public cloud environments,Integration,✔️,✔️,,✔️,✔️,✔️,✔️
Service Fabric,Develop microservices and orchestrate containers on Windows or Linux,Compute,✔️,✔️,,✔️,✔️,✔️,✔️
Service Fabric,Develop microservices and orchestrate containers on Windows or Linux,Containers,✔️,✔️,,✔️,✔️,✔️,✔️
Spatial Anchors,"Create multi-user, spatially aware mixed reality experiences",Mixed Reality,,,,,,,
Spatial Anchors,"Create multi-user, spatially aware mixed reality experiences",Mobile,,,,,,,
Speaker Recognition PREVIEW,A Speech service feature that verifies and identifies speakers,Machine Learning,,,,,,,
Speech to Text,A Speech service feature that accurately converts spoken audio to text,Machine Learning,,,,,,,
Speech Translation,Easily integrate real-time speech translation to your app,Machine Learning,,,,,,,
SQL Server on Virtual Machines,Host enterprise SQL Server apps in the cloud,Compute,,,,,,,
SQL Server on Virtual Machines,Host enterprise SQL Server apps in the cloud,Databases,,,,,,,
SQL Server Stretch Database,Dynamically stretch on-premises SQL Server databases to Azure,Databases,✔️,✔️,,✔️,✔️,✔️,
Static Web Apps PREVIEW,A modern web app service that offers streamlined full-stack development from source code to global high availability,Compute,,,,,,,
Static Web Apps PREVIEW,A modern web app service that offers streamlined full-stack development from source code to global high availability,Web,,,,,,,
Storage Accounts,"Durable, highly available, and massively scalable cloud storage",Storage,,,,,,,
Storage Explorer,View and interact with Azure Storage resources,Storage,,,,,,,
StorSimple,Lower costs with an enterprise hybrid cloud storage solution,Storage,✔️,✔️,,✔️,✔️,,
Table Storage,NoSQL key-value store using semi-structured datasets,Databases,,,,,,,
Table Storage,A NoSQL key-value store for rapid development using massive semi-structured datasets,Storage,✔️,✔️,,✔️,✔️,✔️,✔️
Text Analytics,Easily evaluate sentiment and topics to understand what users want,Machine Learning,,,,,,,
Text to Speech,A Speech service feature that converts text to lifelike speech,Machine Learning,,,,,,,
Traffic Manager,Route incoming traffic for high performance and availability,Management & Governance,✔️,✔️,,✔️,✔️,✔️,✔️
Traffic Manager,Route incoming traffic for high performance and availability,Networking,✔️,✔️,,✔️,✔️,✔️,✔️
Translator,Easily conduct machine translation with a simple REST API call,Machine Learning,,,,,,,
Video Indexer,Unlock video insights,Machine Learning,,,,,,,
Video Indexer,Unlock video insights,Media,,,,,,,
Virtual Machines,Provision Windows and Linux virtual machines in seconds,Compute,,,,✔️,✔️,✔️,✔️
Virtual Machines (incl. Reserved Instances),Create Linux and Windows virtual machines (VMs) in seconds and reduce costs.,Compute,✔️,✔️,,,,,
Virtual Network,"Provision private networks, optionally connect to on-premises datacenters",Networking,✔️,✔️,,✔️,✔️,✔️,✔️
Virtual WAN,Optimize and automate branch to branch connectivity through Azure,Networking,✔️,✔️,,,,,
Visual Studio,The powerful and flexible environment for developing applications in the cloud,Developer Tools,,,,,,,
Visual Studio App Center,"Continuously build, test, release, and monitor your mobile and desktop apps",Mobile,,,,,,,
Visual Studio Code,"A powerful, lightweight code editor for cloud development",Developer Tools,,,,,,,
Visual Studio Codespaces PREVIEW,Cloud-powered development environments accessible from anywhere,Developer Tools,,,,,,,
VPN Gateway,"Establish secure, cross-premises connectivity",Networking,✔️,✔️,,✔️,✔️,✔️,✔️
VPN Gateway,"Establish secure, cross-premises connectivity",Security,✔️,✔️,,✔️,✔️,✔️,✔️
Web App for Containers,Easily deploy and run containerized web apps that scale with your business,Containers,,,,,,,
Web App for Containers,Easily deploy and run containerized web apps that scale with your business,Web,,,,,,,
Web Application Firewall,A cloud-native web application firewall (WAF) service that provides powerful protection for web apps,Networking,,,,,,,
Web Application Firewall,A cloud-native web application firewall (WAF) service that provides powerful protection for web apps,Security,,,,,,,
Web Apps,Quickly create and deploy mission critical web apps at scale,Compute,✔️,✔️,,✔️,✔️,✔️,✔️
Web Apps,Quickly create and deploy mission critical web apps at scale,Containers,✔️,✔️,,✔️,✔️,✔️,✔️
Web Apps,Quickly create and deploy mission critical web apps at scale,Web,✔️,✔️,,✔️,✔️,✔️,✔️
Windows 10 IoT Core Services,Long-term OS support and services to manage device updates and assess device health,IoT,,,,,,,
Windows Virtual Desktop,"The best virtual desktop experience, delivered on Azure",Compute,✔️,✔️,,,,,
Windows Virtual Desktop,"The best virtual desktop experience, delivered on Azure",Windows Virtual Desktop,✔️,✔️,,,,,
Xamarin,Create cloud-powered mobile apps faster,Mobile,,,,,,,
